Latency	Type	Position
1	target	1
2.3047	response	1
3	target	2
4.7707	response	2
5	target	1
6.5979	response	1
7	target	1
8.4367	response	1
9	target	2
10.3136	response	2
11	target	1
12.7613	response	1
13	target	2
14.6907	response	2
15	target	2
16.3534	response	2
17	target	2
18.5697	response	2
19	target	1
20.6131	response	1
21	target	2
22.5991	response	2
23	target	1
24.5273	response	1
25	target	1
26.4222	response	1
27	target	1
28.3912	response	1
29	target	2
30.4814	response	2
31	target	1
32.5853	response	1
33	target	1
34.6527	response	1
35	target	2
36.4148	response	2
37	target	1
38.4608	response	1
39	target	2
40.4373	response	2
41	target	2
42.5778	response	2
43	target	2
44.6871	response	2
45	target	1
46.3559	response	1
47	target	2
48.6695	response	2
49	target	1
50.7648	response	1
51	target	1
52.46	response	1
53	target	1
54.7444	response	1
55	target	2
56.5685	response	2
57	target	1
58.3038	response	1
59	target	1
60.5293	response	1
61	target	2
62.6455	response	2
63	target	1
64.4656	response	1
65	target	2
66.7404	response	2
67	target	2
68.7532	response	2
69	target	2
70.6971	response	2
71	target	1
72.6612	response	1
73	target	2
74.5186	response	2
75	target	1
76.6668	response	1
77	target	1
78.3139	response	1
79	target	1
80.7384	response	1
81	target	2
82.785	response	2
83	target	1
84.306	response	1
85	target	1
86.3696	response	1
87	target	2
88.6319	response	2
89	target	1
90.6019	response	1
91	target	2
92.6735	response	2
93	target	2
94.5582	response	2
95	target	2
96.3136	response	2
97	target	1
98.6383	response	1
99	target	2
100.5575	response	2
